FIGI,TICKER,LOT,NAME,SECTOR,FIRST_TRADE_YEAR,PRICE_ANALYZE,VOLUME_ANALYZE,FIRST_DAY_ANALYZE,OVERALL_ANALYZE,NOWADAY_PRICE
TCS00A1002V2,EUTR,1,ЕвроТранс,industrials,2023,0.4002951767636722,0.2786448074187183,0.037037037037037035,0.4469464913471742,113.85
BBG000VFX6Y4,GLTR,1,Globaltrans Investment PLC,industrials,2020,0.4397230295046426,0.08360816459476735,0.14814814814814814,0.44655340147880634,519.25
TCS00A108ZR8,DATA,1,Группа Аренадата,it,2024,0.4787771223221663,0.019985180873581483,0.0,0.4462863962940472,118.34
BBG000GQSRR5,NKNC,10,Нижнекамскнефтехим,materials,2008,0.3894489244948405,0.031986476374712094,0.5925925925925926,0.44513354479935163,83.95
BBG004S68BR5,NMTP,100,НМТП,industrials,2007,0.3830761642844511,0.03503811946903263,0.6296296296296297,0.44493893463272977,8.835
TCS10A0J2QG8,BLNG,100,Белон,materials,2007,0.3770067667552292,0.05104900685175292,0.6296296296296297,0.4435526822443036,18.9
BBG000V07CB8,DVEC,1000,ДЭК,utilities,2007,0.3860012686225997,0.016654584125154342,0.6296296296296297,0.4427806880448385,2.537
BBG002BCQK67,NSVZ,10,Наука-Связь,telecom,2011,0.4047177257102401,0.01675083109356842,0.48148148148148145,0.4405364479999224,311.5
BBG000K3STR7,APTK,10,"Аптечная сеть 36,6",consumer,2007,0.37522900937730275,0.042596846120734555,0.6296296296296297,0.4396646310199013,10.516
TCS10A0JNAB6,ABIO,10,Артген,health_care,2018,0.43208291234973956,0.045160011757302256,0.2222222222222222,0.43909447748635394,88.3
BBG0029SFXB3,KZOS,10,Казаньоргсинтез - акции обыкновенные,materials,2011,0.3918991692174535,0.05454696392302235,0.48148148148148145,0.438663520993565,79.3
BBG000SK7JS5,LNZL,1,Лензолото,materials,2009,0.3815966353055211,0.05074486103764876,0.5555555555555556,0.4379153017598353,11850.0
BBG001M2SC01,ETLN,1,Etalon Group PLC ГДР,real_estate,2020,0.43692560014811915,0.06047078229208085,0.14814814814814814,0.43782881856776373,60.36
TCS00A107UL4,TCSG,1,Т-Технологии,financial,2019,0.37786361537546154,0.24244589090383845,0.18518518518518517,0.4361799108693692,2603.6
TCS00A0ZZBC2,SOFL,10,Софтлайн,it,2023,0.4498381690221541,0.06286699638375683,0.037037037037037035,0.4357183488342741,127.44
BBG000DBD6F6,KLSB,100,Калужская сбытовая компания,utilities,2006,0.374325668331698,0.0006579726826893443,0.6666666666666666,0.4326215499086263,23.42
BBG00QKJSX05,RENI,10,Ренессанс Страхование,financial,2021,0.4332979556902013,0.05984384997027693,0.1111111111111111,0.42939202551652306,101.82
TCS00A0JVJQ8,MGKL,100,МГКЛ,financial,2023,0.46078457772789244,0.0,0.037037037037037035,0.42921246201869445,2.1455
BBG000R04X57,FLOT,10,Совкомфлот,industrials,2020,0.42900817767429344,0.04887362307205038,0.14814814814814814,0.427413879982928,96.9
BBG000QF1Q17,FESH,10,ДВМП,industrials,2008,0.3541372886313609,0.08649218914593693,0.5925925925925926,0.42682903576462633,48.63
BBG000PZ0833,MGTSP,1,МГТС - акции привилегированные,telecom,2007,0.35611705970577806,0.06004337131866795,0.6296296296296297,0.42656378787219396,930.0
TCS30A0ZYD22,GTRK,10,ГТМ,industrials,2017,0.4073090806610511,0.06539706151342291,0.25925925925925924,0.4263890699556141,315.2
