FIGI,TICKER,LOT,NAME,SECTOR,FIRST_TRADE_YEAR,PRICE_ANALYZE,VOLUME_ANALYZE,FIRST_DAY_ANALYZE,OVERALL_ANALYZE,NOWADAY_PRICE
BBG004S68473,IRAO,100,Интер РАО ЕЭС,utilities,2008,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG002BCQK67,NSVZ,10,Наука-Связь,telecom,2011,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000RTHVK7,GCHE,1,Группа Черкизово,consumer,2008,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG004S681M2,SNGSP,10,Сургутнефтегаз - привилегированные акции,energy,2000,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG00475KKY8,NVTK,1,НОВАТЭК,energy,2004,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG002YFXL29,UNKL,1,ЮУНК,materials,2012,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000GQSRR5,NKNC,10,Нижнекамскнефтехим,materials,2008,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000W325F7,AQUA,1,ИНАРКТИКА,consumer,2018,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000BX7DH0,VRSB,10,ТНС энерго Воронеж,utilities,2018,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS00A0JRH43,MBNK,1,МТС-Банк,financial,2024,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG004730JJ5,MOEX,10,Московская Биржа,financial,2013,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG004Z2RGW8,ROLO,1000,Русолово,materials,2013,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG00Y91R9T3,OZON,1,Ozon Holdings PLC,consumer,2020,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000RK52V1,OGKB,1000,Вторая генерирующая компания оптового рынка электроэнергии,utilities,2007,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS009084453,NOMP,1,Новошип - ао,industrials,2023,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000VFX6Y4,GLTR,1,Globaltrans Investment PLC,industrials,2020,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG002B9T6Y1,KAZTP,10,КуйбышевАзот - Акции привилегированные,materials,2018,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG0047315D0,SNGS,100,Сургутнефтегаз,energy,2000,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG009GSYN76,CBOM,100,МКБ,financial,2015,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000RJWGC4,AMEZ,100,Ашинский метзавод,materials,2008,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000Q7GJ60,TGKBP,100000,ТГК-2 - акции привилегированные,utilities,2007,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG002W2FT69,ABRD,10,АбрауДюрсо,consumer,2018,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG004S68BH6,PIKK,1,ПИК,real_estate,2007,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG004731354,ROSN,1,Роснефть,energy,2006,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS00A1002V2,EUTR,1,ЕвроТранс,industrials,2023,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG004TC84Z8,TRMK,10,Трубная Металлургическая Компания,materials,2007,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS00A0ZZBC2,SOFL,10,Софтлайн,it,2023,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000VKG4R5,MRKU,10000,Россети Урал,utilities,2008,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS10A0J2QG8,BLNG,100,Белон,materials,2007,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG002B2J5X0,KRKNP,1,Саратовский НПЗ - акции привилегированные,energy,2011,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG00475K6C3,CHMF,1,Северсталь,materials,2005,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000RMWQD4,ENPG,1,Эн+,materials,2020,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000GQSVC2,NKNCP,10,Нижнекамскнефтехим (привилегированные),materials,2008,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS00A0HG602,OBNEP,1,Обьнефтегазгеология - привилегированные акции,materials,2023,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS009102396,UFOSP,1,Уфаоргсинтез - привилегированные акции,materials,2023,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000PKWCQ7,MRKV,10000,МРСК Волги,utilities,2008,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG004S68C39,LSRG,1,Группа ЛСР,real_estate,2007,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS00A107UL4,TCSG,1,ТКС Холдинг,financial,2019,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000BBV4M5,CNTL,100,Центральный Телеграф,telecom,2009,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS5407L2079,SFTL,1,Noventiq ГДР,it,2023,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS10A108K09,VSEH,1,ВИ.РУ,consumer,2024,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG004S68JR8,SVAV,1,СОЛЛЕРС,consumer,2005,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG004S685M3,RTKMP,10,Ростелеком - Привилегированные акции,telecom,1997,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000LNHHJ9,KMAZ,10,КАМАЗ,industrials,2005,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG0029SFXB3,KZOS,10,Казаньоргсинтез - акции обыкновенные,materials,2011,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG00ZHCX1X2,FIXP,1,Fix Price Group,consumer,2021,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000PZ0833,MGTSP,1,МГТС - акции привилегированные,telecom,2007,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000F6YPH8,ELFV,1000,ЭЛ5-Энерго,energy,2005,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS00A107KX0,KLVZ,100,Кристалл,consumer,2024,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG007N0Z367,AGRO,1,РусАгро,consumer,2014,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG00R4Z2NT4,VEON-RX,10,VEON,telecom,2021,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS002614686,NTZL,1,НИТЕЛ,telecom,2023,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS20A107662,HEAD,1,Хэдхантер,it,2020,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS10A0JV532,GRNT,1,Городские Инновационные Технологии,industrials,2023,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS00A107T19,YDEX,1,Яндекс,it,2014,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG00F6NKQX3,SMLT,1,ГК Самолет,real_estate,2020,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG004S68758,BANE,1,Башнефть,energy,2011,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG004S683W7,AFLT,10,Аэрофлот,consumer,2000,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG012YQ6P43,CIAN,1,Циан АДР,it,2021,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG001BBGNS2,ORUP,1,Обувь России,consumer,2023,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG004730N88,SBER,10,Сбер Банк,financial,2000,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS00A105BN4,GECO,10,Генетико,health_care,2023,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG004S68CP5,MVID,1,М.Видео,consumer,2007,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000MZL2S9,PMSBP,10,Пермэнергосбыт - акции привилегированные,utilities,2007,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG004S68DD6,MSTT,10,Мостотрест,industrials,2018,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG004S68598,MTLR,1,Мечел,materials,2008,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS00A108GD8,IVAT,1,IVA Technologies,it,2024,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG004S688G4,AKRN,1,Акрон,materials,2006,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS00Y3XYV94,MDMG,1,Мать и дитя,health_care,2020,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG004730RP0,GAZP,10,Газпром,energy,2006,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG0047315Y7,SBERP,10,Сбер Банк - привилегированные акции,financial,2000,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG0063FKTD9,LENT,1,Лента,consumer,2021,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000QJW156,BSPB,10,Банк Санкт-Петербург,financial,2007,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
RU000A106T36,ASTR,1,Группа Астра,it,2023,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000LWNRP3,RKKE,1,РКК Энергия им.С.П.Королева,industrials,2008,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000NLC9Z6,LSNG,100,Ленэнерго,utilities,2000,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG00QKJSX05,RENI,10,Ренессанс Страхование,financial,2021,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000VH7TZ8,MRKC,1000,Россети Центр,utilities,2008,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS00A103X66,POSI,1,Группа Позитив,it,2021,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
